"","country","food_category","consumption","co2_emmission"
"522","Turkey","Fish",5.58,8.91
"523","Turkey","Eggs",8.2,7.53
"524","Turkey","Milk - inc. cheese",193.94,276.25
"525","Turkey","Wheat and Wheat Products",169.96,32.41
"526","Turkey","Rice",10.74,13.74
"527","Turkey","Soybeans",1.71,0.77
"528","Turkey","Nuts inc. Peanut Butter",7.97,14.11
"529","Estonia","Pork",29.68,105.05
"530","Estonia","Poultry",21.11,22.68
"531","Estonia","Beef",7.19,221.87
"532","Estonia","Lamb & Goat",0.44,15.41
"533","Estonia","Fish",12.78,20.41
"534","Estonia","Eggs",12.66,11.63
"535","Estonia","Milk - inc. cheese",284.85,405.74
"536","Estonia","Wheat and Wheat Products",89.36,17.04
"537","Estonia","Rice",2.56,3.28
"538","Estonia","Soybeans",0.04,0.02
"539","Estonia","Nuts inc. Peanut Butter",4.29,7.59
"540","Mexico","Pork",15.23,53.91
"541","Mexico","Poultry",30.12,32.35
"542","Mexico","Beef",15.33,473.05
"543","Mexico","Lamb & Goat",0.89,31.17
"544","Mexico","Fish",7.56,12.07
"545","Mexico","Eggs",18.34,16.85
"546","Mexico","Milk - inc. cheese",111.87,159.35
"547","Mexico","Wheat and Wheat Products",35.21,6.71
"548","Mexico","Rice",5.64,7.22
"549","Mexico","Soybeans",0.02,0.01
"550","Mexico","Nuts inc. Peanut Butter",2.51,4.44
"551","Costa Rica","Pork",10.28,36.39
"552","Costa Rica","Poultry",24.47,26.29
"553","Costa Rica","Beef",15.23,469.97
"554","Costa Rica","Lamb & Goat",0.02,0.7
"555","Costa Rica","Fish",11.32,18.07
"556","Costa Rica","Eggs",10.55,9.69
"557","Costa Rica","Milk - inc. cheese",183.28,261.06
"558","Costa Rica","Wheat and Wheat Products",39.31,7.5
"559","Costa Rica","Rice",45.69,58.47
"560","Costa Rica","Soybeans",1.54,0.69
"561","Costa Rica","Nuts inc. Peanut Butter",1.38,2.44
"562","Bolivia","Pork",8.89,31.47
"563","Bolivia","Poultry",34.31,36.86
"564","Bolivia","Beef",19.78,610.37
"565","Bolivia","Lamb & Goat",1.72,60.23
"566","Bolivia","Fish",2.18,3.48
"567","Bolivia","Eggs",5.18,4.76
"568","Bolivia","Milk - inc. cheese",46.04,65.58
"569","Bolivia","Wheat and Wheat Products",49.99,9.53
"570","Bolivia","Rice",26.99,34.54
"571","Bolivia","Soybeans",0.01,0
"572","Bolivia","Nuts inc. Peanut Butter",9.16,16.21
"573","Ecuador","Pork",14.44,51.11
"574","Ecuador","Poultry",21.85,23.47
"575","Ecuador","Beef",16.61,512.55
"576","Ecuador","Lamb & Goat",0.44,15.41
"577","Ecuador","Fish",5.17,8.25
"578","Ecuador","Eggs",8.01,7.36
"579","Ecuador","Milk - inc. cheese",139.6,198.85
"580","Ecuador","Wheat and Wheat Products",39.19,7.47
"581","Ecuador","Rice",45.07,57.68
"582","Ecuador","Soybeans",0,0
"583","Ecuador","Nuts inc. Peanut Butter",0.98,1.73
"584","Panama","Pork",13.48,47.71
"585","Panama","Poultry",30.81,33.1
"586","Panama","Beef",20.4,629.5
"587","Panama","Lamb & Goat",0.01,0.35
"588","Panama","Fish",11.05,17.64
"589","Panama","Eggs",4.53,4.16
"590","Panama","Milk - inc. cheese",70.29,100.12
"591","Panama","Wheat and Wheat Products",38.96,7.43
"592","Panama","Rice",66.42,85
"593","Panama","Soybeans",3.53,1.59
"594","Panama","Nuts inc. Peanut Butter",1.05,1.86
"595","Czech Republic","Pork",41.17,145.72
"596","Czech Republic","Poultry",19.09,20.51
